# Matter power spectrum P(k) at redshift z=0
# for k=1.04906e-05 to 2118.28 h/Mpc,
# number of wavenumbers equal to 635
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.718598082915e-01       3.554412475162e+02 
       4.750867121445e-01       3.502803802392e+02 
       4.783136161941e-01       3.452020894210e+02 
       4.815405204361e-01       3.402152007902e+02 
       4.847674248668e-01       3.353299236147e+02 
       4.879943294824e-01       3.305562748616e+02 
       4.912212342793e-01       3.259016702158e+02 
       4.944481392538e-01       3.213705339780e+02 
       4.976750444026e-01       3.169608202515e+02 
       5.009019497222e-01       3.126659443389e+02 
       5.041288552094e-01       3.084769695214e+02 
       5.073557608609e-01       3.043833173056e+02 
       5.105826666737e-01       3.003754346959e+02 
       5.138095726446e-01       2.964456053165e+02 
       5.170364787707e-01       2.925864601266e+02 
       5.202633850492e-01       2.887916374356e+02 
       5.234902914771e-01       2.850548915516e+02 
       5.267171980517e-01       2.813705847946e+02 
       5.299441047704e-01       2.777351921525e+02 
       5.331710116305e-01       2.741470601269e+02 
       5.363979186294e-01       2.706082544904e+02 
       5.396248257647e-01       2.671223937077e+02 
       5.428517330339e-01       2.636937657706e+02 
       5.460786404347e-01       2.603257357890e+02 
       5.493055479646e-01       2.570200018735e+02 
       5.525324556216e-01       2.537766703904e+02 
       5.557593634032e-01       2.505948875542e+02 
       5.589862713074e-01       2.474736399002e+02 
       5.622131793320e-01       2.444126062295e+02 
       5.654400874750e-01       2.414113051355e+02 
       5.686669957343e-01       2.384695173048e+02 
       5.718939041081e-01       2.355853190044e+02 
       5.751208125942e-01       2.327557861956e+02 
       5.783477211910e-01       2.299765712132e+02 
       5.815746298964e-01       2.272438242307e+02 
       5.848015387088e-01       2.245541997106e+02 
       5.880284476262e-01       2.219059233198e+02 
       5.912553566472e-01       2.192981565940e+02 
       5.944822657698e-01       2.167304386114e+02 
       5.977091749925e-01       2.142021502973e+02 
       6.009360843137e-01       2.117120797476e+02 
       6.041629937318e-01       2.092585500412e+02 
       6.073899032451e-01       2.068405028218e+02 
       6.106168128523e-01       2.044575562808e+02 
       6.138437225519e-01       2.021103206502e+02 
       6.170706323423e-01       1.997994917891e+02 
       6.202975422222e-01       1.975281204839e+02 
       6.235244521901e-01       1.952956409373e+02 
       6.267513622447e-01       1.931013711788e+02 
       6.299782723847e-01       1.909448696397e+02 
       6.332051826088e-01       1.888226395862e+02 
       6.364320929156e-01       1.867342152556e+02 
       6.396590033040e-01       1.846789535177e+02 
       6.428859137726e-01       1.826566325849e+02 
       6.461128243204e-01       1.806668610246e+02 
       6.493397349460e-01       1.787086965140e+02 
       6.525666456484e-01       1.767807336731e+02 
       6.557935564263e-01       1.748810796063e+02 
       6.590204672788e-01       1.730079230422e+02 
       6.622473782047e-01       1.711605195942e+02 
       6.654742892029e-01       1.693386097209e+02 
       6.687012002723e-01       1.675426827458e+02 
       6.719281114121e-01       1.657731841642e+02 
       6.751550226211e-01       1.640300173734e+02 
       6.783819338983e-01       1.623125082541e+02 
       6.816088452428e-01       1.606197547584e+02 
       6.848357566536e-01       1.589507926052e+02 
       6.880626681299e-01       1.573051422351e+02 
       6.912895796706e-01       1.556830918196e+02 
       6.945164912748e-01       1.540850022767e+02 
       6.977434029418e-01       1.525111856544e+02 
       7.009703146706e-01       1.509613647641e+02 
       7.041972264604e-01       1.494345515196e+02 
       7.074241383102e-01       1.479296502623e+02 
       7.106510502194e-01       1.464456506536e+02 
       7.138779621871e-01       1.449817520132e+02 
       7.171048742126e-01       1.435378459614e+02 
       7.203317862949e-01       1.421141939846e+02 
       7.235586984335e-01       1.407106138909e+02 
       7.267856106274e-01       1.393267609124e+02 
       7.300125228761e-01       1.379620643339e+02 
       7.332394351787e-01       1.366154969704e+02 
       7.364663475345e-01       1.352862235579e+02 
       7.396932599429e-01       1.339739875961e+02 
       7.429201724032e-01       1.326788556075e+02 
       7.461470849147e-01       1.314012890785e+02 
       7.493739974767e-01       1.301413616926e+02 
       7.526009100886e-01       1.288990280902e+02 
       7.558278227497e-01       1.276736276309e+02 
       8.254802149528e-01       1.047529562587e+02 
       9.260319108922e-01       8.070556465321e+01 
       1.085583232910e+00       5.599733730456e+01 
       1.338471399600e+00       3.432166669007e+01 
       1.682644434175e+00       1.991253812736e+01 
       2.118281500243e+00       1.141062251504e+01 
       2.666758264764e+00       6.484977438204e+00 
       3.357249746555e+00       3.658354775023e+00 
       4.226527019677e+00       2.049901809794e+00 
       5.320882268706e+00       1.141598306965e+00 
       6.698593901239e+00       6.321997552708e-01 
       8.433030085560e+00       3.483041898366e-01 
